	Training/Loss	Train/Loss	Train/ACC	Train/AUROC	Train/F1	Train/Fbeta	Train/Precision	Train/Recall	Train/AUPRC	Train/MinRP	Valid/Loss	Valid/ACC	Valid/AUROC	Valid/F1	Valid/Fbeta	Valid/Precision	Valid/Recall	Valid/AUPRC	Valid/MinRP	BestValid/Fbeta	BestValid/ACC	BestValid/AUROC	BestValid/F1	BestValid/Precision	BestValid/Recall	BestValid/AUPRC	BestValid/MinRP	BestEpoch	Test/Loss	Test/ACC	Test/AUROC	Test/F1	Test/Fbeta	Test/Precision	Test/Recall	Test/AUPRC	Test/MinRP
0	1.306	1.475	0.736	0.791	0.543	0.649	0.456	0.673	0.516	0.478	1.963	0.547	0.622	0.395	0.623	0.275	0.699	0.304	0.32	0.694	0.496	0.631	0.403	0.269	0.803	0.296	0.319	27	1.783	0.616	0.654	0.413	0.579	0.308	0.625	0.357	0.36
1	1.314	1.297	0.733	0.801	0.533	0.671	0.428	0.705	0.545	0.52	1.813	0.524	0.637	0.424	0.669	0.295	0.751	0.338	0.356	0.761	0.394	0.617	0.411	0.266	0.906	0.324	0.323	48	2.79	0.461	0.593	0.381	0.672	0.251	0.784	0.259	0.292
2	1.479	1.449	0.621	0.719	0.449	0.663	0.324	0.729	0.422	0.413	1.72	0.565	0.599	0.381	0.563	0.275	0.618	0.289	0.33	0.764	0.347	0.603	0.383	0.24	0.938	0.298	0.25	13	2.202	0.446	0.609	0.419	0.737	0.277	0.859	0.286	0.282
Mean	1.366	1.407	0.697	0.77	0.508	0.661	0.403	0.702	0.494	0.47	1.832	0.545	0.619	0.4	0.618	0.282	0.689	0.31	0.336	0.74	0.412	0.617	0.399	0.258	0.882	0.306	0.297	29.333	2.258	0.508	0.619	0.404	0.663	0.279	0.756	0.301	0.311
std	0.08	0.078	0.053	0.037	0.043	0.009	0.057	0.023	0.053	0.044	0.1	0.017	0.016	0.018	0.044	0.009	0.055	0.021	0.015	0.032	0.063	0.011	0.012	0.013	0.058	0.013	0.033	14.384	0.413	0.077	0.026	0.017	0.065	0.023	0.097	0.041	0.035
																																					
																																					
																																					
																																					
																																					
																															0.619	0.301	0.279	0.756	0.404		
